"연번","비상소화장치일련번호","일련번호","X좌표","Y좌표","비상소화장치고유번호","사용구분","삭제여부","업데이트날짜"
"391","110081092","508","209270.69452984","549863.34547482","000067","52201","N","20230204120010"
"392","110081095","512","204424.66671873","548636.09178001","000073","52201","N","20230205120012"
"393","110081097","515","205750.65547782","550051.37826482","000070","52201","N","20230116120007"
"394","110081098","516","203905.39618740","551600.74064533","000076","52201","N","20230210120006"
"395","110081100","518","204137.48284635","551141.19439059","000074","52201","N","20230216120041"
"396","110081101","519","207911.70572616","552028.32088987","000075","52201","N","20230218120027"
"397","110081102","520","206311.00154839","549921.97843705","000077","52201","N","20230215120054"
"398","110081103","521","207891.07773871","551313.88442227","000020","52201","N","20230218120027"
"399","110081105","523","207251.33912838","548811.95552697","000079","52201","N","20230207120026"
"400","110081106","524","206855.56474577","549511.73102341","000080","52201","N","20230216120041"
"401","110081107","525","207726.20899262","549909.47109678","000081","52201","N","20230204120010"
"402","110081108","526","208497.66824942","550408.72558486","000108","52201","N","20230210120006"
"403","110081109","527","206014.34804157","549402.89486052","000084","52201","N","20230216120041"
"404","110081565","222","203334.41814726","556084.70133412","103","52201","N","20230201120011"
"405","110081566","223","204511.46878491","556834.30090076","104","52201","N","20230119120008"
"406","110081567","224","199947.08166397","556975.08439849","105","52201","N","20230211120001"
"407","110081504","353","201088.56433608","556897.80312549","78","52201","N","20230215120054"
"408","110081505","354","200761.62618750","553812.18479414","79","52201","N","20230121120027"
"409","110081508","357","201166.41280252","554167.28504488","83","52201","N","20230218120027"
"410","110081509","358","200725.70305473","556691.59961877","81","52201","N","20230217120025"
"411","110081510","359","204006.17867027","557246.01041692","84","52201","N","20230213120021"
"412","110081511","360","200610.97862136","556923.73670292","85","52201","N","20230217120025"
"413","110081513","361","202970.81769211","554674.52911432","145","52201","N","20230215120054"
"414","110081514","362","202446.38790558","555410.97095088","146","52201","N","20230215120054"
"415","110081515","363","203682.98997004","556535.35133041","147","52201","N","20230201120011"
"416","110080198","365","203350.07875912","546580.08214051","000015","52201","N","20230208120008"
"417","110080199","366","202449.88228666","545446.13939083","000016","52201","N","20230123120013"
"418","110080192","367","196389.78077156","551342.87648329","89","52201","N","20230114120003"
"419","110080200","368","203076.90635137","545611.56709589","000017","52201","N","20230208120008"
"420","110080201","369","202365.40917478","545663.44864480","000018","52201","N","20230123120013"
"421","110080203","371","202388.74497026","546167.72760866","000020","52201","N","20230208120008"
"422","110080207","373","205755.68148990","541625.67840616","000051","52201","N","20230119120008"
"423","110080193","374","196458.27197013","551608.12587447","100","52201","N","20230209120003"
